"dataset","record_id","field_path","claim","official_source_urls","accessed_date","direct_support","status","correction_needed","finding_id"
"BENEFITS","cwb-disability","public/data.js:name","Canada Workers Benefit — Disability Supplement","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","yes","verified","Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
"BENEFITS","cwb-disability","public/data.js:level","Federal","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","yes","verified","Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
"BENEFITS","cwb-disability","public/data.js:amount","Extra refundable tax credit on top of the base benefit","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","yes","verified","Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
"BENEFITS","cwb-disability","public/data.js:summary","If you work and earn a lower income, this adds an extra disability top-up to your tax refund.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","partial","ambiguous","Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
"BENEFITS","cwb-disability","public/data.js:note","Claimed automatically on your annual tax return once your DTC is on file with the CRA.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","partial","ambiguous","Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
"BENEFITS","cwb-disability","public/data.js:applyUrl","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-workers-benefit.html","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","yes","verified","Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
"BENEFITS","cwb-disability","public/data.js:source","https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-workers-benefit.html","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","yes","verified","Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
"BENEFITS","cwb-disability","public/data.js:requires[0]","dtc","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","partial","ambiguous","Matcher predicate 'dtc' is only a proxy; Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
"BENEFITS","cwb-disability","public/data.js:requires[1]","working","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","partial","ambiguous","Matcher predicate 'working' is only a proxy; Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
"BENEFITS","cwb-disability","public/data.js:requires[2]","lowIncome","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","partial","ambiguous","Matcher predicate 'lowIncome' is only a proxy; Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
"BENEFITS","cwb-disability","public/data.js:detail.about","A refundable tax credit that boosts the income of lower-earning workers, with an extra 'disability supplement' for those approved for the DTC.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","yes","verified","Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
"BENEFITS","cwb-disability","public/data.js:detail.steps[0]","Have your DTC on file with the CRA.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","yes","verified","Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
"BENEFITS","cwb-disability","public/data.js:detail.steps[1]","File your income tax return — claim the disability supplement (Schedule 6).","https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/line-45300-canada-workers-benefit-cwb/how-much-you-can-get.html | https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/5009-s6/5009-s6-25e.pdf","2026-07-22","yes","verified","Add age, Canadian residence, full-time-student, prison and diplomat rules; apply Alberta Schedule 6 thresholds.","ABFED-08"
