"record id","file/path or line","exact claim","official source","access date","direct support","status","correction","finding ID"
"dtc","public/data.js:917 / BENEFITS[dtc] / needsPractitioner","true","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / name","Disability Tax Credit (DTC)","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / level","Federal","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / category","Money & taxes","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / masterKey","true","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / amount","≈ $10,138 tax credit / year + up to 10 years back-pay","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / summary","The master key. A tax credit that lowers the income tax you (or a family member) pay — and it unlocks most other disability benefits below.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","No","Unsupported","Remove universal ranking/gateway wording. State only that DTC is required for four catalog programs and can affect other tax measures; rank using the user’s circumstances.","DATA-26"
"dtc","public/data.js:917 / BENEFITS[dtc] / requires[0]","prolonged","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / requires[1]","certifier","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / note","Approval is based on how much your condition limits your everyday functions — not on the diagnosis name. Your doctor, nurse practitioner, psychologist, optometrist or audiologist documents this on Form T2201. Many conditions qualify when the limitations are well described.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Partial","Unsupported","Implement the CRA impairment-specific practitioner matrix; doctor/NP cover all, while other professions cover only listed functions.","DATA-02"
"dtc","public/data.js:917 / BENEFITS[dtc] / applyText","Start the DTC application (T2201)","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / applyUrl","https://www.canada.ca/en/revenue-agency/services/forms-publications/forms/t2201.html","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / source","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.about","A federal tax credit for people with a severe, long-lasting impairment in physical or mental functions. Getting approved is the single most important step, because it's what makes you eligible for the Canada Disability Benefit, RDSP, Child Disability Benefit and more.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","No","Unsupported","Remove universal ranking/gateway wording. State only that DTC is required for four catalog programs and can affect other tax measures; rank using the user’s circumstances.","DATA-26"
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.steps[0]","Sign in to (or create) CRA My Account — or use the paper form.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.steps[1]","Fill Part A (your personal information).","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.steps[2]","Ask a medical practitioner who knows you to complete Part B, describing how your condition limits your daily life.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","Yes","Verified","",""
"dtc","public/data.js:917 / BENEFITS[dtc] / detail.steps[3]","Submit through CRA My Account for the fastest processing.","https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html | https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit/how-apply-dtc.html | https://budget.canada.ca/update-miseajour/2026/report-rapport/tm-mf-en.html","2026-07-22","No","Outdated","Use the current digital DTC flow (Part A plus practitioner reference number, automatically submitted) or mail the current paper T2201; CRA Account Submit Documents no longer accepts DTC applications as of July 14, 2026.","DATA-27"
