record_id,line,benefit_claims,meta_claims,benefit_value_present,status,evidence_label,official_source,apply_url,claim_groups_reviewed,material_result,correction_or_followup
bc-pwd-designation,2111,29,3,no,correction_required,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/pwd-designation-and-application/designation-application,https://myselfserve.gov.bc.ca/,"name; amount; summary; eligibility; forms; professionals; prescribed classes; documents; steps; time; phone; source/apply; META; BENEFIT_VALUES",BC-BC-02,"Replace 'five prescribed classes' and remove ISC from the HR3642 list. The current policy lists four prescribed classes; ISC-designated applicants moving off reserve use consent/file review and may still need HR2883."
bc-fair-pharmacare,2134,27,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover/fair-pharmacare-plan,https://my.gov.bc.ca/ahdc,"amount bands; two-year income; MSP; CRA consent; deductible/family maximum; 70/75/100%; documents; timing; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found. Current official page directly supports the material claims."
bc-pharmacare-plan-c,2156,24,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover/plan-c,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/pharmacare-for-bc-residents/who-we-cover/plan-c,"100% eligible costs; automatic groups; medical devices exception; urgent 48-hour process; steps; documents; timing; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found."
bc-healthy-kids,2178,29,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/healthy-kids,https://my.gov.bc.ca/ahdc,"$2,000 dental; annual glasses; hearing instruments; under 19; adjusted income under $42,000; assistance exclusion; documents; provider charges; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"Use the current Healthy Kids policy/Benefits Connector as the canonical source; the stored source URL is an older but related provincial page."
bc-medical-transportation,2200,28,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/medical-transportation,https://myselfserve.gov.bc.ca/,"$0.36/km; fares; accommodation; escort; covered recipients; essential treatment; preapproval; exceptional meals $8; HR3320; 12-month recurring approval; exclusions; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found."
handydart-translink,2222,27,3,no,verified,Source-confirmed,https://www.translink.ca/rider-guide/transit-accessibility/handydart,https://www.translink.ca/rider-guide/transit-accessibility/handydart,"July 2026 fares; one-zone rule; functional eligibility; booking window; hours; combined form; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found."
handycard-translink,2244,26,3,no,verified,Source-confirmed,https://www.translink.ca/rider-guide/transit-accessibility/how-to-use-accessible-transit,https://www.translink.ca/rider-guide/transit-accessibility/handydart,"concession fare; attendant free; TaxiSaver access; age 12; region; functional barrier; combined form; photo; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found."
taxisaver-translink,2266,27,3,no,verified,Source-confirmed,https://www.translink.ca/rider-guide/transit-accessibility/how-to-use-accessible-transit,https://www.translink.ca/rider-guide/transit-accessibility/how-to-use-accessible-transit,"$25 buys $50; two books/month; HandyCard prerequisite; ordering; participating taxi use; timing; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No record-specific correction found."
handydart-bctransit,2288,27,3,no,correction_required,Source-confirmed,https://www.bctransit.com/victoria/riderinfo/handydart/,https://www.bctransit.com/victoria/riderinfo/handydart/register/,"regional eligibility; registration; attendant; fares vary; regional forms; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-06,"The result is province-wide but both source and apply links are Victoria-specific. Route the CTA through a BC Transit community selector/general handyDART page or generate a community-specific link."
taxi-saver-bctransit,2310,28,3,no,verified,Source-confirmed,https://www.bctransit.com/victoria/riderinfo/handydart/taxi-saver/,https://www.bctransit.com/victoria/riderinfo/handydart/taxi-saver/,"Victoria-only scope; 12+; permanent handyDART; handyPASS; $40 buys $80; one book/month; denominations; restrictions; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"No correction found because the record explicitly limits itself to Victoria and tells other regions to check locally."
bc-disability-assistance-pwd,2332,32,3,no,verified,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/bc-employment-and-assistance-rate-tables/disability-assistance-rate-table,https://myselfserve.gov.bc.ca/,"support/shelter rates; $52 transport choice; annual earnings exemptions; asset limits; residency; financial/PWD eligibility; monthly reporting; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-01,"Material 2026 rates and limits were directly supported by current official rate, earnings-exemption and asset tables."
bc-autism-funding-under-6,2355,31,3,no,correction_required,Source-confirmed,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/autism-spectrum-disorder/autism-funding/funding-amount,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/autism-spectrum-disorder/autism-funding/apply,"$22,000; age/diagnosis; RASP; eligible uses; transition dates; TTE cap; application; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-03,"Current CYSN transition guidance says the final funding-period training/travel/equipment allowance increased from 20% to 50%. Explain that the older autism equipment subpage still says 20% and tell families to confirm the agreement-specific cap."
bc-autism-funding-6-18,2379,30,3,no,correction_required,Source-confirmed,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/autism-spectrum-disorder/autism-funding/funding-amount,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/autism-spectrum-disorder/autism-funding/apply,"$6,000; age/diagnosis; service categories; transition dates; TTE cap; application; documents; phone; URLs; META; BENEFIT_VALUES",BC-BC-03;BC-BC-04,"Change the final-period TTE statement from 20% to 50% with official-source inconsistency caveat. Remove 'most transitioning families see an increase' unless a current official source directly establishes that distribution."
bc-cy-disability-benefit,2403,28,3,no,correction_required,Source-confirmed,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/financial-supports/disability-benefit,https://www2.gov.bc.ca/gov/content/health/managing-your-health/child-behaviour-development/support-needs/financial-supports/disability-benefit,"$6,500/$17,000; age 0-19; functional eligibility; direct/needs-review pathways; eligible/ineligible uses; phased transition; new intake timing; phone; URLs; META; BENEFIT_VALUES",BC-BC-05,"The factual page is current, but the broad requires predicate can label a new family 'ready' before direct intake opens April 2027. Result status must distinguish existing-family transition from future direct intake/current-pathway application."
bc-monthly-nutritional-supplement,2427,27,3,no,correction_required,Source-confirmed,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/monthly-nutritional-supplement,https://www2.gov.bc.ca/assets/gov/british-columbians-our-governments/policies-for-government/bc-employment-assistance-policy-procedure-manual/forms/pdfs/hr2847.pdf,"$180+$45; PWD/disability assistance; deterioration/symptoms; imminent danger test; HR2847; authorized professionals; review/reconsideration; time; phone; URLs; META; BENEFIT_VALUES",BC-BC-07,"Remove unsupported 'typically a few weeks' and 'denials are frequently overturned' assertions. State that no guaranteed processing time or success rate is published; preserve the formal reconsideration right."
